Address(String)	Elevator(Numerical)	AddedToSite(Date)	AmenitiesCommunity(Numerical)	Appliances(Numerical)	Beds(Numerical)	BedsOnMain(Numerical)	BedsOnUpper(Numerical)	Baths(Numerical)	Basement(Numerical)	Brokeredby(String)	Builder(String)	StoriesNum(Numerical)	CondoCoop(String)	CondoCoopFee(Numerical)	Garage(Numerical)	ElectCooling(Categorical)	CentralAC(Categorical)	ParkingInPrice(Categorical)	HOAFee(Numerical)	HouseSize(Numerical)	Lastrefreshed(Numerical)	ListingAgent(String)	LotSize(Numerical)	MLSID(Categorical)	PoolSpa(Categorical)	PostalCode(Categorical)	PriceSqFt(Numerical)	PropertyStatus(Categorical)	PropertyType(Categorical)	Status(Categorical)	Style(String)	YearBuilt(Numerical)	Price(Numerical)
"3378 Chiswick Ct # 52-1H, Silver Spring, MD 20906"	None	8/28/2014	20	4	1	1	0	None	None	Weichert Realtors - Aspen Hill / Leisure World Plaza	None	None	Montgomery/Mutual Coop	638	None	1	1	1	None	635	1	Kenneth Woodring	None	8442349	None	20906	79	None	2	1	None	1967	49999
"1121 University Blvd W Apt 601, Silver Spring, MD 20902"	1	5/20/2014	3	None	0	None	None	None	None	Deausen Realty	None	None	Comsource Property Management	328	None	1	1	None	None	410	60	Victor Nicmic	None	8353744	None	20902	122	None	2	4	None	1982	50000
"3406 Chiswick Ct # 47-3B, Silver Spring, MD 20906"	None	7/31/2014	18	6	1	1	0	None	None	CENTURY 21 NEW MILLENNIUM	None	None	Montgomery Mutual	740	None	1	1	1	None	800	28	Robert Force	None	8419169	None	20906	71	None	2	3	None	1967	57000
"1633 Carriage House Ter Apt F, Silver Spring, MD 20904"	None	9/11/2014	2	5	2	2	0	None	None	"Fairfax Realty, Inc."	None	None	Tiers At Sil Spr	184	None	1	1	None	None	592	21	Dendry Aguilar	None	8453572	None	20904	106	None	2	3	None	1986	63000
"12001 Old Columbia Pike Apt 601, Silver Spring, MD 20904"	None	3/11/2014	None	None	1	1	0	None	None	Tri-State Realty Llc	None	None	Columbia Towers	320	None	1	1	1	None	550	2	Michelle Johnson	None	8289153	None	20904	118	None	2	1	None	1985	65000
"3382 Chiswick Ct # 51-1C, Silver Spring, MD 20906"	None	10/2/2014	20	8	1	1	0	None	None	Weichert Realtors - Aspen Hill / Leisure World Plaza	None	None	Montgomery Mutual Coop	691	None	1	1	None	None	990	1	Kenneth Woodring	None	8470981	1	20906	68	None	2	1	None	1967	67500
"3934 Bel Pre Rd Apt 6, Silver Spring, MD 20906"	None	4/25/2014	3	None	2	2	0	None	None	"Fairfax Realty, Inc."	None	None	Grand Bel Ii	605	None	1	None	None	255	1016	2	Poonam Hemnani	None	8330038	None	20906	69	None	2	4	None	1976	70000
"3852 Bel Pre Rd # 4-182, Silver Spring, MD 20906"	None	5/12/2014	None	3	2	2	0	None	None	LONG &amp; FOSTER - Silver Spring Downtown	None	None	Grand Bell Manor	499	None	1	1	1	None	908	30	Paul Marston	None	8345671	None	20906	77	None	2	3	None	1976	70000
"3365 S Leisure World Blvd # 95-1C, Silver Spring, MD 20906"	None	9/5/2014	7	8	1	1	0	None	None	Long &amp; Foster Real Estate	None	None	Montgomery Mutual	685	None	1	1	None	None	990	21	Frances Silk	None	8449658	None	20906	72	None	2	1	None	1967	71000
"3904 Bel Pre Rd Apt 1, Silver Spring, MD 20906"	None	9/25/2013	5	None	3	3	0	None	None	"Classic Realty, Ltd."	None	None	Grand Bell Ii	655	None	1	1	None	None	1169	60	Maribel Adad	None	8190272	None	20906	62	None	2	3	None	1974	72000
"614 Sligo Ave Apt 301, Silver Spring, MD 20910"	None	6/11/2014	None	None	1	0	1	None	None	Re/Max Allegiance	None	None	The Carolyn Condominium	640	None	1	1	1	None	1014	3	Damon J. Brockenberry	None	8374721	None	20910	75	None	2	3	None	1975	76000
"3340 Hewitt Ave # 4-1-A, Silver Spring, MD 20906"	None	11/1/2013	4	5	1	1	0	None	None	Cranford	None	None	Westchester West	320	None	1	1	None	None	7651	7	Bruce Wertz	None	8215900	None	20906	10	None	2	None	None	1973	79500
"1121 University Blvd W Apt 711, Silver Spring, MD 20902"	None	8/14/2014	1	None	1	1	0	None	None	Weichert Realtors - Aspen Hill / Leisure World Plaza	None	None	University Tower	495	None	1	1	None	None	776	30	John Radcliffe	None	8432058	1	20902	106	None	2	3	None	1982	82500
"3730 Bel Pre Rd Apt 2, Silver Spring, MD 20906"	None	9/25/2014	2	None	3	3	0	None	None	LONG &amp; FOSTER - North Potomac/Gaithersburg	None	None	Fairways Codm	738	None	1	1	None	None	1245	5	Catalina Sandoval	None	8465447	None	20906	67	None	2	1	None	1978	82900
"3381 S Leisure World Blvd # 93-2B, Silver Spring, MD 20906"	None	3/13/2014	10	None	2	2	0	1.5	None	"Independent Realty, Inc"	None	None	Rossmoor Leisure	760	None	1	1	None	None	1308	4	MADLIN MAHDAWI	None	8290673	None	20906	69	None	2	3	None	1967	89900
"8601 Manchester Rd Apt 301, Silver Spring, MD 20901"	1	8/2/2014	3	None	1	1	0	None	None	LONG &amp; FOSTER - Potomac/Cabin John	None	None	Park Bradford	464	None	1	1	1	None	708	30	Stacey Sauter	None	8421862	None	20901	132	None	2	3	None	1985	93500
"3301 Hewitt Ave Apt 506, Silver Spring, MD 20906"	1	6/28/2014	2	6	2	2	0	None	None	Weichert Realtors - Aspen Hill / Leisure World Plaza	None	None	Hermitage Woods	345	None	1	1	None	None	981	14	Roberta Campbell	None	8390678	None	20906	101	None	2	1	None	1973	99000
"3844 Bel Pre Rd # 8-158, Silver Spring, MD 20906"	None	5/23/2014	3	None	3	3	0	None	None	LONG AND FOSTER - Bethesda Gateway	None	None	Grand Del Manor	595	None	1	1	None	None	1166	14	Juan Umanzor	None	8357582	None	20906	85	None	2	None	None	1976	99000
"2210 Greenery Ln # 201-18, Silver Spring, MD 20906"	None	10/23/2013	4	None	2	2	0	None	None	LONG &amp; FOSTER - Silver Spring/Colesville	None	None	Glenwaye Gardens	505	None	1	1	None	None	1029	5	Marta Granados	None	8209473	None	20906	96	None	2	None	None	1974	99000
"3310 N Leisure World Blvd # 803-6, Silver Spring, MD 20906"	None	8/20/2014	12	None	1	1	0	None	None	Coldwell Banker Innovations	None	None	Fairways North C	412	None	1	1	None	None	850	14	Jeanne Pino	None	8436546	None	20906	118	None	2	1	None	1993	99900
"10809 Amherst Ave Apt F, Wheaton, MD 20902"	None	7/25/2014	3	None	1	1	0	None	None	RE/MAX Results - MD	None	None	Tiers At Wheaton	320.23	None	1	1	None	None	446	7	NICK CARRAS	None	8414404	None	20902	224	None	2	1	None	1983	99900
"1121 University Blvd W Apt 1315, Silver Spring, MD 20902"	1	8/25/2014	None	4	2	2	0	None	None	Weichert Realtors - Aspen Hill / Leisure World Plaza	None	None	University Tower	725	None	1	1	None	None	1117	14	John Radcliffe	None	8439685	None	20902	90	None	2	3	None	1982	100000
"2206 Greenery Ln # 301-20, Silver Spring, MD 20906"	None	9/29/2014	1	None	2	2	0	1.5	None	Carrington Real Estate Services Llc	None	None	Glen Waye Gardens	495	None	1	1	None	None	1029	5	HENRY AMOBI	None	8468182	None	20906	102	None	2	1	None	1974	104900
"2921 N Leisure World Blvd # 1-421, Silver Spring, MD 20906"	1	7/14/2014	15	7	2	2	0	1.5	None	Re/Max Town Center	None	None	Rossmoor Mutual	459	None	1	1	1	None	953	3	Carmen Murphy	None	8404020	None	20906	110	None	2	4	None	1981	105000
